"TypeCode,""FreqCode"",""RefPeriodId"",""RefYear"",""RefMonth"",""Period"",""ReporterCode"",""ReporterISO"",""ReporterDesc"",""FlowCode"",""FlowDesc"",""PartnerCode"",""PartnerISO"",""PartnerDesc"",""Partner2Code"",""Partner2ISO"",""Partner2Desc"",""ClassificationCode"",""ClassificationSearchCode"",""IsOriginalClassification"",""CmdCode"",""CmdDesc"",""AggrLevel"",""IsLeaf"",""CustomsCode"",""CustomsDesc"",""MosCode"",""MotCode"",""MotDesc"",""QtyUnitCode"",""QtyUnitAbbr"",""Qty"",""IsQtyEstimated"",""AltQtyUnitCode"",""AltQtyUnitAbbr"",""AltQty"",""IsAltQtyEstimated"",""NetWgt"",""IsNetWgtEstimated"",""GrossWgt"",""IsGrossWgtEstimated"",""Cifvalue"",""Fobvalue"",""PrimaryValue"",""LegacyEstimationFlag"",""IsReported"",""IsAggregate"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""528"",""NLD"",""Netherlands"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""288218346"",""false"",""19"",""BBL"",""1812694"",""false"",""288218346"",""false"",""0"",""false"",,""143344312.792"",""143344312.792"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""579"",""NOR"",""Norway"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""302619930"",""false"",""19"",""BBL"",""1903270"",""false"",""302619930"",""false"",""0"",""false"",,""117942002.236"",""117942002.236"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""604"",""PER"",""Peru"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""149955603"",""false"",""19"",""BBL"",""943117"",""false"",""149955603"",""false"",""0"",""false"",,""85354882.931"",""85354882.931"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""616"",""POL"",""Poland"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""594088713"",""false"",""19"",""BBL"",""3736407"",""false"",""594088713"",""false"",""0"",""false"",,""215122727.931"",""215122727.931"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""620"",""PRT"",""Portugal"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""2709914115"",""false"",""19"",""BBL"",""17043485"",""false"",""2709914115"",""false"",""0"",""false"",,""1099592659.551"",""1099592659.551"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""699"",""IND"",""India"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""6774374193"",""false"",""19"",""BBL"",""42606127"",""false"",""6774374193"",""false"",""0"",""false"",,""2677413953.868"",""2677413953.868"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""702"",""SGP"",""Singapore"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""608817996"",""false"",""19"",""BBL"",""3829044"",""false"",""608817996"",""false"",""0"",""false"",,""258004285.008"",""258004285.008"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""710"",""ZAF"",""South Africa"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""897472002"",""false"",""19"",""BBL"",""5644478"",""false"",""897472002"",""false"",""0"",""false"",,""333121663.088"",""333121663.088"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""724"",""ESP"",""Spain"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""2660633496"",""false"",""19"",""BBL"",""16733544"",""false"",""2660633496"",""false"",""0"",""false"",,""1156928758.047"",""1156928758.047"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""764"",""THA"",""Thailand"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""1386165975"",""false"",""19"",""BBL"",""8718025"",""false"",""1386165975"",""false"",""0"",""false"",,""631110865.693"",""631110865.693"",""0"",""false"",""true"","
